"","date","soe","total_arrivals"
"533",2023-03-01,"Johor",1301585
"534",2023-03-01,"Kedah",100620
"535",2023-03-01,"Kelantan",58591
"536",2023-03-01,"Melaka",4596
"537",2023-03-01,"Negeri Sembilan",8450
"538",2023-03-01,"Pahang",261
"539",2023-03-01,"Perak",21201
"540",2023-03-01,"Perlis",69607
"541",2023-03-01,"Pulau Pinang",74385
"542",2023-03-01,"Sabah",37411
"543",2023-03-01,"Sarawak",141193
"544",2023-03-01,"Selangor",568760
"545",2023-03-01,"Terengganu",18
"546",2023-03-01,"W.P. Labuan",1425
"547",2023-04-01,"Johor",1227351
"548",2023-04-01,"Kedah",85744
"549",2023-04-01,"Kelantan",46894
"550",2023-04-01,"Melaka",5639
"551",2023-04-01,"Negeri Sembilan",4340
"552",2023-04-01,"Pahang",838
"553",2023-04-01,"Perak",19131
"554",2023-04-01,"Perlis",54352
"555",2023-04-01,"Pulau Pinang",76242
"556",2023-04-01,"Sabah",36694
"557",2023-04-01,"Sarawak",173088
"558",2023-04-01,"Selangor",549762
"559",2023-04-01,"Terengganu",1
"560",2023-04-01,"W.P. Labuan",2291
"561",2023-05-01,"Johor",1298501
"562",2023-05-01,"Kedah",91007
"563",2023-05-01,"Kelantan",52302
"564",2023-05-01,"Melaka",5255
"565",2023-05-01,"Negeri Sembilan",14303
"566",2023-05-01,"Pahang",804
"567",2023-05-01,"Perak",20150
"568",2023-05-01,"Perlis",62963
"569",2023-05-01,"Pulau Pinang",82247
"570",2023-05-01,"Sabah",41970
"571",2023-05-01,"Sarawak",147533
"572",2023-05-01,"Selangor",597519
"573",2023-05-01,"Terengganu",1
"574",2023-05-01,"W.P. Labuan",1741
"575",2023-06-01,"Johor",1510345
"576",2023-06-01,"Kedah",77066
"577",2023-06-01,"Kelantan",36763
"578",2023-06-01,"Melaka",5218
"579",2023-06-01,"Negeri Sembilan",5034
"580",2023-06-01,"Pahang",998
"581",2023-06-01,"Perak",18571
"582",2023-06-01,"Perlis",46491
"583",2023-06-01,"Pulau Pinang",102625
"584",2023-06-01,"Sabah",25499
"585",2023-06-01,"Sarawak",120392
"586",2023-06-01,"Selangor",449001
"587",2023-06-01,"Terengganu",3
"588",2023-06-01,"W.P. Labuan",1587
"589",2023-07-01,"Johor",1545948
"590",2023-07-01,"Kedah",85599
"591",2023-07-01,"Kelantan",50017
"592",2023-07-01,"Melaka",5261
"593",2023-07-01,"Negeri Sembilan",6499
"594",2023-07-01,"Pahang",716
"595",2023-07-01,"Perak",21446
"596",2023-07-01,"Perlis",65446
"597",2023-07-01,"Pulau Pinang",96735
"598",2023-07-01,"Sabah",31337
"599",2023-07-01,"Sarawak",128541
"600",2023-07-01,"Selangor",790911
"601",2023-07-01,"Terengganu",1
"602",2023-07-01,"W.P. Labuan",1360
"603",2023-08-01,"Johor",1510486
"604",2023-08-01,"Kedah",76758
"605",2023-08-01,"Kelantan",35798
"606",2023-08-01,"Melaka",3466
"607",2023-08-01,"Negeri Sembilan",7275
"608",2023-08-01,"Pahang",752
"609",2023-08-01,"Perak",19302
"610",2023-08-01,"Perlis",48127
"611",2023-08-01,"Pulau Pinang",91936
"612",2023-08-01,"Sabah",9825
"613",2023-08-01,"Sarawak",112505
"614",2023-08-01,"Selangor",782907
"615",2023-08-01,"Terengganu",0
"616",2023-08-01,"W.P. Labuan",2290
"617",2023-09-01,"Johor",1599539
"618",2023-09-01,"Kedah",85836
"619",2023-09-01,"Kelantan",35224
"620",2023-09-01,"Melaka",4227
"621",2023-09-01,"Negeri Sembilan",6045
"622",2023-09-01,"Pahang",1103
"623",2023-09-01,"Perak",17552
"624",2023-09-01,"Perlis",53629
"625",2023-09-01,"Pulau Pinang",87334
"626",2023-09-01,"Sabah",9078
"627",2023-09-01,"Sarawak",113165
"628",2023-09-01,"Selangor",704265
"629",2023-09-01,"Terengganu",3
"630",2023-09-01,"W.P. Labuan",1469
"631",2023-10-01,"Johor",1575638
"632",2023-10-01,"Kedah",98794
"633",2023-10-01,"Kelantan",47679
